2021-07-28 08:26:06,769 WARNING   * Debugger is active!
2021-07-28 08:26:06,774 INFO      * Debugger PIN: 933-455-903
2021-07-28 08:26:06,907 WARNING   * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
2021-07-28 08:26:06,907 INFO      * Running on http://192.168.1.10:5000/ (Press CTRL+C to quit)
2021-07-28 08:26:07,796 INFO     127.0.0.1 - - [28/Jul/2021 08:26:07] "GET / HTTP/1.1" 200 -
2021-07-28 08:26:09,974 INFO     Main chips sent: {'payload': {'richContent': [[{'text': 'Data science', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'ds-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}, {'text': 'Machine Learning', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'ml-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}, {'text': 'Programming', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'pl-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}]]}}
2021-07-28 08:26:09,976 INFO     127.0.0.1 - - [28/Jul/2021 08:26:09] "POST /webhook HTTP/1.1" 200 -
2021-07-28 08:32:08,397 INFO     127.0.0.1 - - [28/Jul/2021 08:32:08] "GET / HTTP/1.1" 200 -
2021-07-28 08:32:11,089 INFO     Main chips sent: {'payload': {'richContent': [[{'text': 'Data science', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'ds-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}, {'text': 'Machine Learning', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'ml-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}, {'text': 'Programming', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'pl-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}]]}}
2021-07-28 08:32:11,090 INFO     127.0.0.1 - - [28/Jul/2021 08:32:11] "POST /webhook HTTP/1.1" 200 -
2021-07-28 08:32:22,086 INFO     Main chips sent: {'payload': {'richContent': [[{'text': 'Data science', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'ds-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}, {'text': 'Machine Learning', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'ml-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}, {'text': 'Programming', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'pl-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}]]}}
2021-07-28 08:32:22,087 INFO     127.0.0.1 - - [28/Jul/2021 08:32:22] "POST /webhook HTTP/1.1" 200 -
2021-07-28 08:32:42,446 INFO     127.0.0.1 - - [28/Jul/2021 08:32:42] "GET / HTTP/1.1" 200 -
2021-07-28 08:32:44,108 INFO     Main chips sent: {'payload': {'richContent': [[{'text': 'Data science', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'ds-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}, {'text': 'Machine Learning', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'ml-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}, {'text': 'Programming', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'pl-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}]]}}
2021-07-28 08:32:44,110 INFO     127.0.0.1 - - [28/Jul/2021 08:32:44] "POST /webhook HTTP/1.1" 200 -
2021-07-28 08:34:02,167 INFO     Main chips sent: {'payload': {'richContent': [[{'text': 'Data science', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'ds-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}, {'text': 'Machine Learning', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'ml-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}, {'text': 'Programming', 'type': 'button', 'event': {'languageCode': 'en-US', 'parameters': {}, 'name': 'pl-landing'}, 'icon': {'color': '#f252ad', 'type': 'trending_up'}}]]}}
2021-07-28 08:34:02,167 INFO     127.0.0.1 - - [28/Jul/2021 08:34:02] "POST /webhook HTTP/1.1" 200 -
2021-07-28 08:37:12,526 INFO     Action check.data.science
2021-07-28 08:37:12,526 INFO     Request URL: https://en.wikipedia.org/w/api.php?action=query&prop=extracts&titles=Data Science&explaintext=1&exsectionformat=wiki
2021-07-28 08:37:12,813 DEBUG    Starting new HTTPS connection (1): en.wikipedia.org:443
2021-07-28 08:37:13,651 DEBUG    https://en.wikipedia.org:443 "GET /w/api.php?action=query&prop=extracts&titles=Data+Science&explaintext=1&exsectionformat=wiki&format=json&redirects=1 HTTP/1.1" 200 None
